iter	Passed	Remaining
0	4	19694
1	10	20194
2	14	19399
3	17	17943
4	20	16670
5	25	16719
6	28	16250
7	31	15559
8	33	14930
9	36	14606
10	39	14411
11	42	14003
12	44	13653
13	46	13340
14	49	13081
15	51	12833
16	53	12596
17	56	12519
18	59	12370
19	61	12195
20	63	12072
21	65	11925
22	68	11784
23	70	11746
24	73	11684
25	75	11602
26	78	11549
27	81	11573
28	84	11510
29	86	11461
30	89	11501
31	93	11571
32	95	11520
33	98	11461
34	100	11393
35	103	11400
36	106	11379
37	108	11338
38	111	11296
39	113	11241
40	115	11182
41	118	11153
42	121	11174
43	124	11212
44	127	11166
45	129	11115
46	132	11113
47	135	11170
48	137	11126
49	140	11109
50	143	11074
51	145	11036
52	147	10998
53	150	10969
54	152	10962
55	155	10952
56	157	10916
57	160	10890
58	162	10854
59	164	10823
60	168	10859
61	170	10859
62	173	10835
63	175	10803
64	177	10775
65	180	10749
66	182	10733
67	186	10756
68	188	10757
69	191	10732
70	193	10706
71	195	10682
72	198	10666
73	201	10710
74	204	10698
75	206	10673
76	209	10651
77	211	10624
78	213	10603
79	217	10642
80	220	10661
81	223	10666
82	226	10684
83	230	10761
84	233	10773
85	236	10778
86	239	10772
87	242	10774
88	245	10787
89	249	10855
90	252	10856
91	255	10834
92	257	10815
93	259	10798
94	262	10782
95	266	10830
96	268	10816
97	271	10813
98	274	10805
99	276	10793
100	280	10822
101	283	10827
102	285	10818
103	288	10812
104	290	10791
105	293	10773
106	297	10812
107	300	10818
108	303	10833
109	306	10829
110	308	10820
111	311	10822
112	314	10833
113	317	10825
114	320	10814
115	322	10805
116	325	10808
117	329	10844
118	333	10861
119	335	10847
120	338	10838
121	340	10828
122	344	10858
123	347	10861
124	350	10852
125	352	10840
126	355	10834
127	357	10829
128	361	10852
129	364	10864
130	368	10872
131	371	10874
132	373	10865
133	377	10903
134	380	10898
135	383	10890
136	385	10882
137	388	10877
138	392	10906
139	395	10901
140	398	10900
141	400	10894
142	403	10889
143	406	10890
144	411	10949
145	414	10949
146	417	10938
147	420	10950
148	425	10991
149	429	11028
150	433	11059
151	436	11054
152	440	11079
153	444	11091
154	446	11084
155	449	11078
156	452	11074
157	455	11085
158	458	11086
159	461	11079
160	464	11075
161	467	11073
162	470	11074
163	474	11087
164	476	11083
165	479	11084
166	482	11071
167	484	11058
168	488	11064
169	491	11066
170	494	11061
171	496	11048
172	498	11036
173	501	11021
174	505	11046
175	508	11048
176	510	11035
177	513	11022
178	515	11012
179	518	11005
180	522	11015
181	524	11013
182	527	11003
183	529	10990
184	532	10973
185	535	10970
186	537	10965
187	540	10952
188	542	10940
189	544	10926
190	547	10912
191	549	10896
192	552	10904
193	555	10897
194	558	10894
195	560	10879
196	563	10871
197	565	10856
198	568	10865
199	571	10860
200	574	10850
201	576	10836
202	578	10823
203	580	10809
204	583	10805
205	586	10799
206	589	10793
207	591	10782
208	593	10772
209	596	10759
210	598	10755
211	601	10751
212	604	10746
213	606	10734
214	609	10722
215	611	10710
216	613	10698
217	616	10696
218	619	10696
219	622	10690
220	624	10679
221	626	10666
222	628	10653
223	631	10652
224	636	10677
225	640	10694
226	642	10687
227	646	10691
228	650	10706
229	653	10704
230	655	10697
231	658	10691
232	660	10679
233	664	10689
234	666	10680
235	669	10674
236	671	10662
237	673	10649
238	675	10637
239	678	10625
240	681	10623
241	683	10618
242	686	10606
243	688	10595
244	690	10584
245	693	10579
246	696	10582
247	699	10579
248	701	10568
249	703	10556
250	706	10545
251	708	10539
252	711	10535
253	714	10535
254	717	10539
255	720	10530
256	722	10526
257	725	10516
258	727	10514
259	730	10513
260	733	10508
261	735	10499
262	738	10498
263	741	10489
264	744	10489
265	747	10493
266	750	10494
267	753	10488
268	755	10480
269	757	10470
270	761	10473
271	763	10471
272	766	10468
273	769	10460
274	771	10451
275	773	10441
276	777	10447
277	780	10445
278	782	10439
279	785	10430
280	787	10420
281	789	10411
282	792	10410
283	795	10408
284	797	10401
285	800	10393
286	802	10383
287	804	10375
288	807	10372
289	810	10370
290	813	10367
291	815	10357
292	817	10346
293	820	10337
294	822	10327
295	825	10332
296	829	10338
297	831	10329
298	833	10322
299	836	10312
300	838	10303
301	842	10311
302	845	10315
303	848	10311
304	850	10301
305	852	10294
306	855	10290
307	858	10290
308	861	10286
309	863	10279
310	865	10270
311	868	10260
312	870	10255
313	874	10260
314	876	10254
315	878	10246
316	881	10238
317	883	10228
318	885	10222
319	889	10228
320	892	10226
321	894	10219
322	896	10210
323	899	10203
324	901	10195
325	905	10200
326	907	10198
327	910	10192
328	912	10182
329	914	10175
330	917	10166
331	920	10165
332	923	10166
333	925	10159
334	927	10151
335	930	10146
336	932	10138
337	934	10129
338	938	10133
339	941	10134
340	943	10127
341	946	10124
342	949	10122
343	952	10127
344	956	10128
345	958	10121
346	960	10116
347	963	10108
348	965	10099
349	968	10101
350	972	10105
351	975	10105
352	978	10107
353	981	10104
354	984	10105
355	987	10110
356	992	10124
357	995	10124
358	998	10123
359	1002	10138
360	1005	10136
361	1008	10135
362	1010	10128
363	1013	10120
364	1016	10122
365	1019	10124
366	1022	10121
367	1024	10115
368	1027	10108
369	1029	10100
370	1033	10105
371	1036	10108
372	1039	10106
373	1041	10099
374	1044	10092
375	1046	10088
376	1050	10091
377	1053	10095
378	1056	10094
379	1059	10090
380	1061	10083
381	1065	10092
382	1069	10096
383	1071	10091
384	1073	10083
385	1076	10076
386	1078	10068
